Invoice ID,Payment,Total
226-31-3081,Cash,80.22
529-56-3974,Cash,107.142
829-34-3910,Cash,749.49
299-46-1805,Cash,590.436
649-29-6775,Cash,35.196
145-94-9061,Cash,463.89
848-62-7243,Cash,235.2105
149-71-6266,Cash,737.7615
640-49-2076,Cash,703.752
777-82-7220,Cash,253.008
554-53-8700,Cash,117.831
354-25-5821,Cash,435.456
228-96-1411,Cash,829.08
617-15-4209,Cash,32.277
132-32-9879,Cash,394.632
326-78-5178,Cash,671.79
162-48-8011,Cash,234.0975
399-46-5918,Cash,722.232
106-35-6779,Cash,93.114
817-48-8732,Cash,759.675
120-06-4233,Cash,192.843
853-23-2453,Cash,318.108
877-22-3308,Cash,166.635
232-11-3025,Cash,827.085
382-03-4532,Cash,19.2465
796-12-2025,Cash,652.26
841-35-6630,Cash,478.233
756-01-7507,Cash,106.995
360-39-5055,Cash,256.7775
362-58-8315,Cash,401.73
504-35-8843,Cash,44.5935
318-68-5053,Cash,485.037
565-80-5980,Cash,198.996
871-39-9221,Cash,78.435
733-01-9107,Cash,521.01
163-56-7055,Cash,51.1455
189-98-2939,Cash,742.2975
551-21-3069,Cash,218.0115
212-62-1842,Cash,367.038
716-39-1409,Cash,223.0725
630-74-5166,Cash,391.419
588-01-7461,Cash,321.111
861-77-0145,Cash,860.685
227-78-1148,Cash,535.374
870-54-3162,Cash,169.3125
191-10-6171,Cash,291.207
802-70-5316,Cash,580.419
695-51-0018,Cash,146.328
597-78-7908,Cash,284.193
354-39-5160,Cash,216.846
241-72-9525,Cash,545.055
280-17-4359,Cash,950.25
338-65-2210,Cash,720.3
400-89-4171,Cash,680.148
279-74-2924,Cash,75.7785
275-28-0149,Cash,66.8745
234-65-2137,Cash,1003.59
796-32-9050,Cash,323.064
733-33-4967,Cash,175.14
130-98-8941,Cash,472.311
434-83-9547,Cash,323.148
732-04-5373,Cash,195.174
286-43-6208,Cash,829.71
556-86-3144,Cash,78.0045
848-24-9445,Cash,91.77
542-41-0513,Cash,241.458
426-39-2418,Cash,451.3635
677-11-0152,Cash,881.307
891-58-8335,Cash,217.6335
560-30-5617,Cash,130.0425
319-74-2561,Cash,298.116
389-25-3394,Cash,62.0025
279-62-1445,Cash,13.167
213-72-6612,Cash,90.825
466-61-5506,Cash,571.41
289-65-5721,Cash,170.877
418-02-5978,Cash,794.6505
269-04-5750,Cash,310.044
346-84-3103,Cash,69.405
217-58-1179,Cash,263.13
530-90-9855,Cash,399.756
866-05-7563,Cash,256.41
290-68-2984,Cash,99.75
704-11-6354,Cash,494.76
110-48-7033,Cash,137.004
655-85-5130,Cash,160.86
447-15-7839,Cash,233.52
571-94-0759,Cash,783.3
687-15-1097,Cash,44.352
633-91-1052,Cash,25.263
566-19-5475,Cash,352.5795
526-86-8552,Cash,229.11
537-72-0426,Cash,745.395
