Invoice ID,Product line,Total
226-31-3081,Electronic accessories,80.22
699-14-3026,Electronic accessories,627.6165
355-53-5943,Electronic accessories,433.692
529-56-3974,Electronic accessories,107.142
365-64-0515,Electronic accessories,246.4875
300-71-4605,Electronic accessories,451.71
636-48-8204,Electronic accessories,181.44
272-65-1806,Electronic accessories,575.316
132-32-9879,Electronic accessories,394.632
669-54-1719,Electronic accessories,119.259
399-46-5918,Electronic accessories,722.232
120-06-4233,Electronic accessories,192.843
841-35-6630,Electronic accessories,478.233
732-94-0499,Electronic accessories,437.325
594-34-4444,Electronic accessories,102.018
871-39-9221,Electronic accessories,78.435
551-21-3069,Electronic accessories,218.0115
704-48-3927,Electronic accessories,931.035
861-77-0145,Electronic accessories,860.685
638-60-7125,Electronic accessories,836.304
590-83-4591,Electronic accessories,550.935
700-81-1757,Electronic accessories,138.1275
279-74-2924,Electronic accessories,75.7785
733-33-4967,Electronic accessories,175.14
608-27-6295,Electronic accessories,333.207
831-07-6050,Electronic accessories,171.7275
542-41-0513,Electronic accessories,241.458
426-39-2418,Electronic accessories,451.3635
672-51-8681,Electronic accessories,629.8425
817-69-8206,Electronic accessories,942.4485
888-02-0338,Electronic accessories,247.8735
319-74-2561,Electronic accessories,298.116
239-36-3640,Electronic accessories,285.705
389-25-3394,Electronic accessories,62.0025
583-72-1480,Electronic accessories,155.652
466-61-5506,Electronic accessories,571.41
545-46-3100,Electronic accessories,33.3585
346-84-3103,Electronic accessories,69.405
866-05-7563,Electronic accessories,256.41
799-71-1548,Electronic accessories,326.424
366-93-0948,Electronic accessories,69.6675
151-16-1484,Electronic accessories,135.45
380-94-4661,Electronic accessories,276.948
850-41-9669,Electronic accessories,709.317
139-20-0155,Electronic accessories,423.15
558-80-4082,Electronic accessories,204.6975
278-97-7759,Electronic accessories,65.604
211-05-0490,Electronic accessories,272.58
727-75-6477,Electronic accessories,121.128
439-54-7422,Electronic accessories,214.998
396-90-2219,Electronic accessories,125.664
411-77-0180,Electronic accessories,530.67
512-98-1403,Electronic accessories,83.412
227-07-4446,Electronic accessories,820.365
603-07-0961,Electronic accessories,392.6475
340-66-0321,Electronic accessories,152.712
527-09-6272,Electronic accessories,149.3625
633-09-3463,Electronic accessories,150.0975
378-07-7001,Electronic accessories,151.4835
441-94-7118,Electronic accessories,75.5475
531-80-1784,Electronic accessories,191.247
834-61-8124,Electronic accessories,379.9215
320-49-6392,Electronic accessories,31.752
453-63-6187,Electronic accessories,86.625
122-61-9553,Electronic accessories,484.974
254-31-0042,Electronic accessories,203.175
201-86-2184,Electronic accessories,193.011
182-69-8360,Electronic accessories,99.33
462-78-5240,Electronic accessories,55.881
563-36-9814,Electronic accessories,80.661
346-12-3257,Electronic accessories,181.818
745-71-3520,Electronic accessories,185.367
740-22-2500,Electronic accessories,264.7575
459-50-7686,Electronic accessories,147.798
810-60-6344,Electronic accessories,343.224
891-01-7034,Electronic accessories,470.673
744-09-5786,Electronic accessories,138.663
187-83-5490,Electronic accessories,87.234
533-33-5337,Electronic accessories,833.595
325-90-8763,Electronic accessories,488.985
233-34-0817,Electronic accessories,103.782
676-39-6028,Electronic accessories,338.31
598-47-9715,Electronic accessories,353.094
575-67-1508,Electronic accessories,40.53
246-11-3901,Electronic accessories,344.4
556-97-7101,Electronic accessories,132.762
726-29-6793,Electronic accessories,203.112
189-52-0236,Electronic accessories,731.6925
734-91-1155,Electronic accessories,143.9865
857-67-9057,Electronic accessories,240.975
243-47-2663,Electronic accessories,118.251
213-32-1216,Electronic accessories,416.178
399-69-4630,Electronic accessories,139.923
134-75-2619,Electronic accessories,142.002
174-75-0888,Electronic accessories,203.931
134-54-4720,Electronic accessories,356.328
760-90-2357,Electronic accessories,469.413
219-61-4139,Electronic accessories,87.234
421-95-9805,Electronic accessories,30.408
840-19-2096,Electronic accessories,461.5275
655-07-2265,Electronic accessories,246.6765
318-81-2368,Electronic accessories,48.51
155-45-3814,Electronic accessories,743.82
794-32-2436,Electronic accessories,116.907
273-84-2164,Electronic accessories,63.2625
740-11-5257,Electronic accessories,259.77
369-82-2676,Electronic accessories,397.215
169-52-4504,Electronic accessories,49.4235
250-81-7186,Electronic accessories,104.6745
811-03-8790,Electronic accessories,477.54
528-87-5606,Electronic accessories,41.454
868-06-0466,Electronic accessories,657.531
834-45-5519,Electronic accessories,180.6
183-21-3799,Electronic accessories,733.6035
482-17-1179,Electronic accessories,37.611
438-23-1242,Electronic accessories,557.718
137-63-5492,Electronic accessories,616.98
197-77-7132,Electronic accessories,769.104
807-14-7833,Electronic accessories,182.91
785-96-0615,Electronic accessories,300.216
525-09-8450,Electronic accessories,757.365
711-31-1234,Electronic accessories,401.688
457-94-0464,Electronic accessories,830.3715
404-91-5964,Electronic accessories,548.163
886-77-9084,Electronic accessories,603.876
263-12-5321,Electronic accessories,680.61
702-72-0487,Electronic accessories,97.881
324-41-6833,Electronic accessories,253.68
831-81-6575,Electronic accessories,714.3255
257-60-7754,Electronic accessories,210.966
380-60-5336,Electronic accessories,422.73
674-56-6360,Electronic accessories,99.9075
778-34-2523,Electronic accessories,408.408
366-43-6862,Electronic accessories,222.138
538-22-0304,Electronic accessories,681.975
416-17-9926,Electronic accessories,779.31
237-44-6163,Electronic accessories,88.704
660-29-7083,Electronic accessories,586.635
291-59-1384,Electronic accessories,63.315
804-38-3935,Electronic accessories,295.407
585-90-0249,Electronic accessories,76.923
866-70-2814,Electronic accessories,554.295
124-31-1458,Electronic accessories,250.7085
544-55-9589,Electronic accessories,225.015
608-05-3804,Electronic accessories,41.7375
448-61-3783,Electronic accessories,756.168
761-49-0439,Electronic accessories,101.64
884-80-6021,Electronic accessories,771.435
114-35-5271,Electronic accessories,486.444
715-20-1673,Electronic accessories,148.995
811-35-1094,Electronic accessories,317.835
377-79-7592,Electronic accessories,423.738
151-27-8496,Electronic accessories,235.746
717-96-4189,Electronic accessories,223.587
636-98-3364,Electronic accessories,82.719
226-34-0034,Electronic accessories,57.876
431-66-2305,Electronic accessories,833.9625
489-82-1237,Electronic accessories,690.018
859-97-6048,Electronic accessories,176.925
430-02-3888,Electronic accessories,289.926
324-92-3863,Electronic accessories,43.869
364-34-2972,Electronic accessories,304.983
172-42-8274,Electronic accessories,80.367
