Invoice ID,gross income,Total
750-67-8428,26.1415,548.9715
373-73-7910,30.2085,634.3785
699-14-3026,29.8865,627.6165
315-22-5665,36.78,772.38
829-34-3910,35.69,749.49
299-46-1805,28.116,590.436
149-71-6266,35.1315,737.7615
640-49-2076,33.512,703.752
272-65-1806,27.396,575.316
228-96-1411,39.48,829.08
370-41-7321,25.5105,535.7205
574-22-5561,41.315,867.615
326-78-5178,31.99,671.79
399-46-5918,34.392,722.232
635-40-6220,35.84,752.64
817-48-8732,36.175,759.675
109-28-2512,29.283,614.943
232-11-3025,39.385,827.085
393-65-2792,44.74,939.54
796-12-2025,31.06,652.26
287-21-9091,33.6015,705.6315
829-49-1914,39.155,822.255
870-72-4431,29.757,624.897
730-50-9884,29.071,610.491
152-08-9985,28.962,608.202
766-85-7061,43.935,922.635
189-98-2939,35.3475,742.2975
704-48-3927,44.335,931.035
861-77-0145,40.985,860.685
227-78-1148,25.494,535.374
645-44-1170,26.1315,548.7615
237-01-6122,36.3555,763.4655
638-60-7125,39.824,836.304
219-22-9386,44.982,944.622
336-78-2147,25.564,536.844
668-90-8900,32.7915,688.6215
663-86-9076,27.416,575.736
549-84-7482,40.626,853.146
802-70-5316,27.639,580.419
590-83-4591,26.235,550.935
241-72-9525,25.955,545.055
575-30-8091,29.0,609.0
731-81-9469,44.9,942.9
280-17-4359,45.25,950.25
338-65-2210,34.3,720.3
262-47-2794,28.744,603.624
746-94-0204,37.458,786.618
400-89-4171,32.388,680.148
743-04-1105,43.749,918.729
423-57-2993,28.017,588.357
234-65-2137,47.79,1003.59
687-47-8271,49.49,1039.29
305-14-0245,37.796,793.716
286-43-6208,39.51,829.71
672-51-8681,29.9925,629.8425
817-69-8206,44.8785,942.4485
677-11-0152,41.967,881.307
549-03-9315,37.948,796.908
836-82-5858,31.2165,655.5465
466-61-5506,27.21,571.41
721-86-6247,25.368,532.728
418-02-5978,37.8405,794.6505
157-13-5295,25.97,545.37
376-02-8238,37.548,788.508
785-13-7708,25.571,536.991
850-41-9669,33.777,709.317
253-12-6086,34.44,723.24
571-94-0759,37.3,783.3
477-24-6490,29.913,628.173
537-72-0426,35.495,745.395
136-08-6195,27.984,587.664
667-92-0055,29.949,628.929
