Invoice ID,Quantity,Total
750-67-8428,7,548.9715
631-41-3108,7,340.5255
123-19-1176,8,489.048
373-73-7910,7,634.3785
699-14-3026,7,627.6165
355-53-5943,6,433.692
315-22-5665,10,772.38
252-56-2699,10,453.495
829-34-3910,10,749.49
299-46-1805,6,590.436
656-95-9349,7,506.6355
765-26-6951,6,457.443
227-03-5010,8,441.756
848-62-7243,9,235.2105
149-71-6266,9,737.7615
640-49-2076,8,703.752
272-65-1806,9,575.316
333-73-7901,8,461.328
777-82-7220,8,253.008
354-25-5821,6,435.456
228-96-1411,8,829.08
370-41-7321,9,535.7205
727-46-3608,9,189.0945
669-54-1719,6,119.259
574-22-5561,10,867.615
326-78-5178,7,671.79
399-46-5918,8,722.232
635-40-6220,8,752.64
817-48-8732,10,759.675
120-06-4233,6,192.843
803-83-5989,6,351.099
347-34-2234,9,520.4115
199-75-8169,10,166.005
877-22-3308,10,166.635
109-28-2512,6,614.943
232-11-3025,10,827.085
393-65-2792,10,939.54
796-12-2025,10,652.26
841-35-6630,6,478.233
287-21-9091,9,705.6315
732-94-0499,10,437.325
263-10-3913,9,463.428
381-20-0914,9,189.0945
829-49-1914,10,822.255
870-72-4431,6,624.897
480-63-2856,8,161.7
730-50-9884,7,610.491
633-44-8566,7,362.943
318-68-5053,6,485.037
225-32-0908,10,471.03
873-51-0671,7,161.553
152-08-9985,9,608.202
766-85-7061,10,922.635
871-39-9221,6,78.435
733-01-9107,6,521.01
189-98-2939,9,742.2975
551-21-3069,9,218.0115
212-62-1842,6,367.038
716-39-1409,7,223.0725
704-48-3927,10,931.035
628-34-3388,6,172.494
630-74-5166,6,391.419
588-01-7461,9,321.111
861-77-0145,10,860.685
227-78-1148,7,535.374
645-44-1170,9,548.7615
237-01-6122,9,763.4655
642-32-2990,10,115.08
638-60-7125,8,836.304
659-36-1684,7,419.832
219-22-9386,9,944.622
336-78-2147,8,536.844
268-27-6179,8,474.348
668-90-8900,7,688.6215
189-08-9157,9,299.8485
663-86-9076,8,575.736
549-84-7482,9,853.146
191-10-6171,7,291.207
802-70-5316,6,580.419
590-83-4591,6,550.935
483-71-1164,6,512.19
354-39-5160,6,216.846
241-72-9525,10,545.055
575-30-8091,8,609.0
731-81-9469,10,942.9
280-17-4359,10,950.25
338-65-2210,10,720.3
239-10-7476,6,491.085
458-41-1477,6,291.438
685-64-1609,10,316.47
262-47-2794,8,603.624
238-49-0436,8,272.664
584-86-7256,7,254.016
746-94-0204,9,786.618
214-17-6927,6,103.824
400-89-4171,8,680.148
743-04-1105,9,918.729
423-57-2993,6,588.357
894-41-5205,8,362.712
101-17-6199,7,336.5565
548-46-9322,10,418.95
505-02-0892,8,357.588
234-65-2137,10,1003.59
687-47-8271,10,1039.29
796-32-9050,6,323.064
105-31-1824,7,510.972
733-33-4967,8,175.14
608-27-6295,6,333.207
414-12-7047,8,166.236
827-26-2100,9,319.788
175-54-2529,8,186.228
139-52-2867,7,165.4485
407-63-8975,6,465.444
130-98-8941,7,472.311
434-83-9547,8,323.148
851-28-6367,10,162.75
824-88-3614,8,288.204
586-25-0848,7,90.699
305-14-0245,8,793.716
286-43-6208,9,829.71
606-80-4905,6,120.645
426-39-2418,7,451.3635
875-46-5808,10,271.95
749-24-1565,9,217.6335
672-51-8681,9,629.8425
263-87-5680,10,299.565
817-69-8206,9,942.4485
888-02-0338,9,247.8735
677-11-0152,9,881.307
891-58-8335,7,217.6335
549-03-9315,8,796.908
239-36-3640,6,285.705
468-01-2051,7,456.288
836-82-5858,9,655.5465
466-61-5506,6,571.41
721-86-6247,8,532.728
418-02-5978,9,794.6505
157-13-5295,10,545.37
540-11-4336,9,235.683
376-02-8238,8,788.508
530-90-9855,8,399.756
785-13-7708,7,536.991
845-51-0542,9,439.8975
662-47-5456,10,369.495
704-11-6354,8,494.76
729-09-9681,6,163.233
850-41-9669,9,709.317
447-15-7839,10,233.52
253-12-6086,7,723.24
571-94-0759,10,783.3
731-14-2199,10,373.17
126-54-1082,9,203.553
477-24-6490,6,628.173
566-19-5475,7,352.5795
526-86-8552,10,229.11
537-72-0426,10,745.395
828-61-5674,10,462.21
136-08-6195,8,587.664
667-92-0055,6,628.929
226-71-3580,9,224.4375
283-79-9594,7,356.5485
430-60-3493,7,697.368
139-20-0155,10,423.15
558-80-4082,7,204.6975
585-03-5943,10,190.155
744-02-5987,6,493.794
396-90-2219,8,125.664
411-77-0180,7,530.67
286-01-5402,7,295.6905
803-17-8013,8,745.836
532-59-7201,6,503.559
423-64-4619,9,146.9475
227-07-4446,10,820.365
704-20-4138,7,218.0745
649-11-3678,9,216.6885
372-94-8041,6,96.138
746-54-5508,6,135.576
868-81-1752,9,208.089
898-04-2717,9,721.98
692-27-8933,6,365.085
374-17-3652,9,404.649
433-75-6987,7,411.3795
873-95-4984,7,565.215
135-84-8019,9,736.4385
725-96-3778,8,749.7
531-80-1784,7,191.247
400-45-1220,10,141.75
860-79-0874,10,1042.65
834-61-8124,7,379.9215
115-99-4379,7,402.2655
565-67-6697,9,255.15
632-90-0281,10,394.275
554-42-2417,10,1002.12
612-36-5536,8,680.064
605-72-4132,8,793.548
462-67-9126,6,461.286
122-61-9553,9,484.974
613-59-9758,10,150.78
254-31-0042,9,203.175
201-86-2184,7,193.011
730-70-9830,6,441.693
382-25-8917,6,265.104
843-01-4703,9,334.341
743-88-1662,7,701.8515
689-16-9784,6,294.651
725-56-0833,10,339.36
394-41-0748,9,510.9615
596-42-3999,7,133.917
173-82-9529,10,398.475
308-47-4913,10,548.73
760-54-1821,9,128.4255
793-10-3222,6,258.678
346-12-3257,9,181.818
110-05-6330,6,248.409
587-03-7455,7,718.7565
244-08-0162,10,359.205
472-15-9636,8,427.812
745-71-3520,7,185.367
271-88-8734,10,1020.705
301-81-8610,8,213.528
198-84-7132,9,383.7645
269-10-8440,7,390.7995
325-77-6186,10,951.825
459-50-7686,6,147.798
616-87-0016,7,702.219
751-69-0068,9,937.818
345-08-4992,6,214.137
810-60-6344,8,343.224
394-30-3170,8,742.812
138-17-5109,9,843.0345
301-11-9629,7,140.385
235-46-8343,10,290.43
