Invoice ID,Rating,Product line
750-67-8428,9.1,Health and beauty
226-31-3081,9.6,Electronic accessories
123-19-1176,8.4,Health and beauty
252-56-2699,8.2,Food and beverages
329-62-1586,8.6,Food and beverages
636-48-8204,9.9,Electronic accessories
227-03-5010,8.5,Home and lifestyle
145-94-9061,9.6,Food and beverages
132-32-9879,9.5,Electronic accessories
370-41-7321,8.4,Health and beauty
669-54-1719,8.1,Electronic accessories
326-78-5178,9.5,Food and beverages
162-48-8011,8.5,Food and beverages
399-46-5918,8.2,Electronic accessories
120-06-4233,9.3,Electronic accessories
285-68-5083,10.0,Sports and travel
347-34-2234,10.0,Sports and travel
199-75-8169,8.6,Sports and travel
109-28-2512,9.9,Fashion accessories
393-65-2792,9.6,Food and beverages
841-35-6630,8.7,Electronic accessories
287-21-9091,9.4,Home and lifestyle
263-10-3913,8.6,Fashion accessories
787-56-0757,8.3,Food and beverages
362-58-8315,9.9,Fashion accessories
225-32-0908,8.2,Sports and travel
152-08-9985,8.6,Health and beauty
865-92-6136,9.3,Food and beverages
212-62-1842,9.9,Food and beverages
861-77-0145,9.2,Electronic accessories
227-78-1148,8.4,Fashion accessories
237-01-6122,9.5,Home and lifestyle
870-54-3162,9.0,Sports and travel
663-86-9076,8.5,Food and beverages
802-70-5316,8.3,Sports and travel
590-83-4591,8.8,Electronic accessories
700-81-1757,8.8,Electronic accessories
354-39-5160,9.8,Home and lifestyle
241-72-9525,8.2,Sports and travel
575-30-8091,9.2,Sports and travel
280-17-4359,8.1,Health and beauty
338-65-2210,9.1,Health and beauty
488-25-4221,8.4,Food and beverages
458-41-1477,9.5,Health and beauty
685-64-1609,9.2,Fashion accessories
214-17-6927,9.9,Food and beverages
400-89-4171,9.3,Sports and travel
782-95-9291,9.0,Food and beverages
307-85-2293,9.7,Home and lifestyle
423-57-2993,10.0,Sports and travel
894-41-5205,8.3,Food and beverages
687-47-8271,8.7,Fashion accessories
105-31-1824,8.5,Sports and travel
316-55-4634,9.4,Food and beverages
608-27-6295,9.8,Electronic accessories
414-12-7047,8.7,Food and beverages
827-26-2100,8.8,Home and lifestyle
175-54-2529,9.6,Food and beverages
342-65-4817,9.9,Health and beauty
400-60-7251,9.9,Home and lifestyle
286-43-6208,9.2,Food and beverages
831-07-6050,9.9,Electronic accessories
699-01-4164,8.2,Health and beauty
426-39-2418,9.8,Electronic accessories
875-46-5808,8.7,Health and beauty
672-51-8681,9.7,Electronic accessories
677-11-0152,8.8,Food and beverages
802-43-8934,8.3,Home and lifestyle
560-30-5617,8.5,Sports and travel
549-03-9315,8.7,Fashion accessories
389-25-3394,9.4,Electronic accessories
279-62-1445,8.2,Fashion accessories
746-68-6593,9.7,Sports and travel
583-72-1480,9.7,Electronic accessories
545-46-3100,8.7,Electronic accessories
755-12-3214,8.6,Fashion accessories
376-02-8238,8.3,Home and lifestyle
799-71-1548,8.8,Electronic accessories
662-47-5456,8.4,Fashion accessories
