Invoice ID,Customer type,Total
750-67-8428,Member,548.9715
123-19-1176,Member,489.048
355-53-5943,Member,433.692
665-32-9167,Member,76.146
692-92-5582,Member,172.746
351-62-0822,Member,60.816
529-56-3974,Member,107.142
299-46-1805,Member,590.436
656-95-9349,Member,506.6355
300-71-4605,Member,451.71
549-59-1358,Member,279.1845
227-03-5010,Member,441.756
149-71-6266,Member,737.7615
183-56-6882,Member,417.564
232-16-2483,Member,71.526
129-29-8530,Member,328.755
777-82-7220,Member,253.008
280-35-5823,Member,91.056
554-53-8700,Member,117.831
354-25-5821,Member,435.456
228-96-1411,Member,829.08
617-15-4209,Member,32.277
132-32-9879,Member,394.632
370-41-7321,Member,535.7205
727-46-3608,Member,189.0945
669-54-1719,Member,119.259
574-22-5561,Member,867.615
326-78-5178,Member,671.79
162-48-8011,Member,234.0975
616-24-2851,Member,75.054
778-71-5554,Member,16.2015
106-35-6779,Member,93.114
817-48-8732,Member,759.675
285-68-5083,Member,77.931
347-34-2234,Member,520.4115
199-75-8169,Member,166.005
853-23-2453,Member,318.108
877-22-3308,Member,166.635
109-28-2512,Member,614.943
382-03-4532,Member,19.2465
510-95-6347,Member,152.838
263-10-3913,Member,463.428
381-20-0914,Member,189.0945
829-49-1914,Member,822.255
787-56-0757,Member,337.512
360-39-5055,Member,256.7775
633-44-8566,Member,362.943
565-80-5980,Member,198.996
873-51-0671,Member,161.553
152-08-9985,Member,608.202
163-56-7055,Member,51.1455
704-48-3927,Member,931.035
861-77-0145,Member,860.685
479-26-8945,Member,34.629
210-67-5886,Member,309.3615
645-44-1170,Member,548.7615
237-01-6122,Member,763.4655
291-32-1427,Member,115.185
659-65-8956,Member,53.928
659-36-1684,Member,419.832
219-22-9386,Member,944.622
336-78-2147,Member,536.844
268-27-6179,Member,474.348
663-86-9076,Member,575.736
802-70-5316,Member,580.419
590-83-4591,Member,550.935
354-39-5160,Member,216.846
731-81-9469,Member,942.9
280-17-4359,Member,950.25
338-65-2210,Member,720.3
488-25-4221,Member,31.9305
685-64-1609,Member,316.47
262-47-2794,Member,603.624
608-96-3517,Member,384.468
584-86-7256,Member,254.016
782-95-9291,Member,484.5225
279-74-2924,Member,75.7785
743-04-1105,Member,918.729
505-02-0892,Member,357.588
105-31-1824,Member,510.972
316-55-4634,Member,420.2625
608-27-6295,Member,333.207
827-26-2100,Member,319.788
175-54-2529,Member,186.228
342-65-4817,Member,273.42
434-83-9547,Member,323.148
851-28-6367,Member,162.75
895-66-0685,Member,56.952
305-14-0245,Member,793.716
732-04-5373,Member,195.174
556-86-3144,Member,78.0045
848-24-9445,Member,91.77
420-11-4919,Member,374.7975
606-80-4905,Member,120.645
542-41-0513,Member,241.458
875-46-5808,Member,271.95
394-43-4238,Member,93.2925
672-51-8681,Member,629.8425
263-87-5680,Member,299.565
891-58-8335,Member,217.6335
319-74-2561,Member,298.116
279-62-1445,Member,13.167
746-68-6593,Member,183.036
836-82-5858,Member,655.5465
583-72-1480,Member,155.652
466-61-5506,Member,571.41
545-46-3100,Member,33.3585
269-04-5750,Member,310.044
157-13-5295,Member,545.37
755-12-3214,Member,232.155
346-84-3103,Member,69.405
142-72-4741,Member,195.72
217-58-1179,Member,263.13
530-90-9855,Member,399.756
866-05-7563,Member,256.41
604-70-6476,Member,94.185
799-71-1548,Member,326.424
845-51-0542,Member,439.8975
662-47-5456,Member,369.495
704-11-6354,Member,494.76
110-48-7033,Member,137.004
366-93-0948,Member,69.6675
729-09-9681,Member,163.233
151-16-1484,Member,135.45
380-94-4661,Member,276.948
655-85-5130,Member,160.86
