Invoice ID,City,Total
750-67-8428,Yangon,548.9715
631-41-3108,Yangon,340.5255
123-19-1176,Yangon,489.048
373-73-7910,Yangon,634.3785
355-53-5943,Yangon,433.692
665-32-9167,Yangon,76.146
365-64-0515,Yangon,246.4875
252-56-2699,Yangon,453.495
829-34-3910,Yangon,749.49
656-95-9349,Yangon,506.6355
765-26-6951,Yangon,457.443
329-62-1586,Yangon,172.2105
636-48-8204,Yangon,181.44
549-59-1358,Yangon,279.1845
227-03-5010,Yangon,441.756
189-17-4241,Yangon,184.107
848-62-7243,Yangon,235.2105
595-11-5460,Yangon,202.818
129-29-8530,Yangon,328.755
272-65-1806,Yangon,575.316
162-48-8011,Yangon,234.0975
106-35-6779,Yangon,93.114
635-40-6220,Yangon,752.64
817-48-8732,Yangon,759.675
199-75-8169,Yangon,166.005
877-22-3308,Yangon,166.635
232-11-3025,Yangon,827.085
382-03-4532,Yangon,19.2465
287-21-9091,Yangon,705.6315
381-20-0914,Yangon,189.0945
633-44-8566,Yangon,362.943
504-35-8843,Yangon,44.5935
873-51-0671,Yangon,161.553
594-34-4444,Yangon,102.018
865-92-6136,Yangon,166.1625
212-62-1842,Yangon,367.038
704-48-3927,Yangon,931.035
630-74-5166,Yangon,391.419
645-44-1170,Yangon,548.7615
642-32-2990,Yangon,115.08
638-60-7125,Yangon,836.304
668-90-8900,Yangon,688.6215
870-54-3162,Yangon,169.3125
802-70-5316,Yangon,580.419
700-81-1757,Yangon,138.1275
354-39-5160,Yangon,216.846
575-30-8091,Yangon,609.0
239-10-7476,Yangon,491.085
685-64-1609,Yangon,316.47
238-49-0436,Yangon,272.664
746-94-0204,Yangon,786.618
782-95-9291,Yangon,484.5225
275-28-0149,Yangon,66.8745
101-17-6199,Yangon,336.5565
687-47-8271,Yangon,1039.29
796-32-9050,Yangon,323.064
105-31-1824,Yangon,510.972
249-42-3782,Yangon,367.5525
827-26-2100,Yangon,319.788
175-54-2529,Yangon,186.228
407-63-8975,Yangon,465.444
851-28-6367,Yangon,162.75
586-25-0848,Yangon,90.699
400-60-7251,Yangon,77.7735
831-07-6050,Yangon,171.7275
856-22-8149,Yangon,26.5545
749-24-1565,Yangon,217.6335
888-02-0338,Yangon,247.8735
802-43-8934,Yangon,19.194
319-74-2561,Yangon,298.116
213-72-6612,Yangon,90.825
721-86-6247,Yangon,532.728
157-13-5295,Yangon,545.37
645-78-8093,Yangon,195.594
478-06-7835,Yangon,94.1745
540-11-4336,Yangon,235.683
448-81-5016,Yangon,125.517
217-58-1179,Yangon,263.13
530-90-9855,Yangon,399.756
604-70-6476,Yangon,94.185
799-71-1548,Yangon,326.424
290-68-2984,Yangon,99.75
704-11-6354,Yangon,494.76
366-93-0948,Yangon,69.6675
729-09-9681,Yangon,163.233
151-16-1484,Yangon,135.45
850-41-9669,Yangon,709.317
447-15-7839,Yangon,233.52
253-12-6086,Yangon,723.24
144-51-6085,Yangon,297.108
731-14-2199,Yangon,373.17
126-54-1082,Yangon,203.553
633-91-1052,Yangon,25.263
828-61-5674,Yangon,462.21
136-08-6195,Yangon,587.664
490-29-1201,Yangon,16.107
667-92-0055,Yangon,628.929
565-17-3836,Yangon,200.214
430-60-3493,Yangon,697.368
278-97-7759,Yangon,65.604
316-68-6352,Yangon,76.356
744-02-5987,Yangon,493.794
307-83-9164,Yangon,252.042
439-54-7422,Yangon,214.998
411-77-0180,Yangon,530.67
286-01-5402,Yangon,295.6905
803-17-8013,Yangon,745.836
512-98-1403,Yangon,83.412
848-42-2560,Yangon,172.011
870-76-1733,Yangon,74.7075
423-64-4619,Yangon,146.9475
372-94-8041,Yangon,96.138
563-91-7120,Yangon,324.2925
746-54-5508,Yangon,135.576
815-11-1168,Yangon,523.845
340-66-0321,Yangon,152.712
634-97-8956,Yangon,103.635
566-71-1091,Yangon,404.355
442-48-3607,Yangon,49.308
527-09-6272,Yangon,149.3625
898-04-2717,Yangon,721.98
150-89-8043,Yangon,140.6475
135-84-8019,Yangon,736.4385
441-94-7118,Yangon,75.5475
531-80-1784,Yangon,191.247
